metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_020\OpenElectricity_NEM_5T_BM_020_long_forward.csv
clean_data,data\datasets\ori\OpenElectricity_NEM_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],201155.36
MSE[0.5],201155.36
MAE[0.5],321.73784722222223
MASE[0.5],1.0449226663254985
MAPE[0.5],0.05869826846652561
sMAPE[0.5],0.05671315511067709
MSIS,9.032170904143577
RMSE[mean],448.5034670991964
NRMSE[mean],0.07588107946543529
ND[0.5],0.05443394966377789
mean_weighted_sum_quantile_loss,0.04482230417654827
