metric,value
model,timesfm2p5
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\ETTh1_BM_020_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],12.524959490740741
MSE[0.5],12.524959490740741
MAE[0.5],2.816370261863426
MASE[0.5],1.179896295296761
MAPE[0.5],0.4363993136682243
sMAPE[0.5],0.3487032026815148
MSIS,7.55182669558366
RMSE[mean],3.539061950678561
NRMSE[mean],0.3217252033777892
ND[0.5],0.2560275315642434
mean_weighted_sum_quantile_loss,0.19893072575982795
