metric,value
model,timesfm2p5
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Finland_Traffic_15T_BM_010_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Finland_Traffic_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],1413.6744444444444
MSE[0.5],1413.6744444444444
MAE[0.5],23.313602430555555
MASE[0.5],0.5646990601434675
MAPE[0.5],0.257826849240569
sMAPE[0.5],0.20728538134725846
MSIS,5.003068084543114
RMSE[mean],37.598862275931225
NRMSE[mean],0.2424606563945916
ND[0.5],0.15034048920819493
mean_weighted_sum_quantile_loss,0.12552909535648
