metric,value
model,timesfm2p5
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\weather_BM_030_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],291.1110763888889
MSE[0.5],291.1110763888889
MAE[0.5],12.111409505208334
MASE[0.5],0.3764304289123062
MAPE[0.5],0.027471883561876086
sMAPE[0.5],0.027521346340711517
MSIS,2.3421918039986864
RMSE[mean],17.06197750522749
NRMSE[mean],0.039331160273587386
ND[0.5],0.027919142915435895
mean_weighted_sum_quantile_loss,0.021626591546691123
