metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_010\Coastal_T_S_H_BM_010_long_linear.csv
clean_data,data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],1143.428732638889
MSE[0.5],1143.428732638889
MAE[0.5],19.35663519965278
MASE[0.5],1.6071806136678768
MAPE[0.5],0.7248510572645399
sMAPE[0.5],0.3369469748602973
MSIS,37.938773751412484
RMSE[mean],33.81462305924597
NRMSE[mean],0.5975679996172834
ND[0.5],0.3420681565875168
mean_weighted_sum_quantile_loss,0.3114979758770925
