metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_010\NE_China_Wind_H_BM_010_long_linear.csv
clean_data,data\datasets\ori\NE_China_Wind_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],0.5396633572048611
MSE[0.5],0.5396633572048611
MAE[0.5],0.5830935160319011
MASE[0.5],1.2715357714865905
MAPE[0.5],2.7509646945529513
sMAPE[0.5],0.7598631117078993
MSIS,8.600912664858514
RMSE[mean],0.7346178307153054
NRMSE[mean],0.7811713938912631
ND[0.5],0.6200448119317717
mean_weighted_sum_quantile_loss,0.4863123654478784
