metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_030\traffic_BM_030_long_linear.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.0001120058916233204
MSE[0.5],0.0001120058916233204
MAE[0.5],0.007936496028193721
MASE[0.5],1.7550072652367588
MAPE[0.5],0.6601586473048865
sMAPE[0.5],0.33843354401765047
MSIS,13.326677785838951
RMSE[mean],0.010583283593635787
NRMSE[mean],0.3160310432412886
ND[0.5],0.23699441645678737
mean_weighted_sum_quantile_loss,0.18581151832634368
