metric,value
model,visiontspp
eval_data,data\datasets\ori\NE_China_Wind_H.csv
clean_data,data\datasets\ori\NE_China_Wind_H.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],0.4932658862992747
MSE[0.5],0.4932658862992747
MAE[0.5],0.555504084263157
MASE[0.5],1.213565949383366
MAPE[0.5],2.9565718011200657
sMAPE[0.5],0.7191651832218298
MSIS,8.718361968609994
RMSE[mean],0.702328901796925
NRMSE[mean],0.6472930420189138
ND[0.5],0.5119737029711459
mean_weighted_sum_quantile_loss,0.40951129369133
