metric,value
model,visiontspp
eval_data,data\datasets\ori\current_velocity_H.csv
clean_data,data\datasets\ori\current_velocity_H.csv
freq,H
term,long
prediction_length,720
windows,5
MSE[mean],75.9693177852528
MSE[0.5],75.9693177852528
MAE[0.5],6.856665755377875
MASE[0.5],1.0971844822410834
MAPE[0.5],0.03601232464409525
sMAPE[0.5],0.03599768580254811
MSIS,6.924097735612078
RMSE[mean],8.716037963734026
NRMSE[mean],0.04540663218274158
ND[0.5],0.03572014041814284
mean_weighted_sum_quantile_loss,0.027972189413797713
