metric,value
model,visiontspp
eval_data,data\datasets\ori\electricity.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],101008.47245569952
MSE[0.5],101008.47245569952
MAE[0.5],229.52325352986654
MASE[0.5],0.7892234105011324
MAPE[0.5],0.07024539882814085
sMAPE[0.5],0.06942283772396461
MSIS,5.472024496223481
RMSE[mean],317.8183010081382
NRMSE[mean],0.09861096785005403
ND[0.5],0.07121525130201331
mean_weighted_sum_quantile_loss,0.05559581124130956
