metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_15T_BM_030_long_backward.csv
clean_data,data\datasets\ori\Coastal_T_S_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],0.00811753061082628
MSE[0.5],0.00811753061082628
MAE[0.5],0.0714998287624783
MASE[0.5],1.254115070909561
MAPE[0.5],0.002014659775627984
sMAPE[0.5],0.0020152559696387786
MSIS,10.524396607961085
RMSE[mean],0.09009733964344496
NRMSE[mean],0.0025383993548173745
ND[0.5],0.0020144337215558658
mean_weighted_sum_quantile_loss,0.0016583681879224809
