metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_H_BM_030_long_backward.csv
clean_data,data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],2637.2902777777776
MSE[0.5],2637.2902777777776
MAE[0.5],35.292583550347224
MASE[0.5],3.0780819586965418
MAPE[0.5],1.4673575507269965
sMAPE[0.5],0.7901002888243729
MSIS,10.724172481351985
RMSE[mean],51.354554596235936
NRMSE[mean],0.9075315850051526
ND[0.5],0.6236863417509027
mean_weighted_sum_quantile_loss,0.46577196577985824
