metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\ETTh1_BM_020_short_backward.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],2.914761045529129
MSE[0.5],2.914761045529129
MAE[0.5],1.2182012046376864
MASE[0.5],0.5618133785037348
MAPE[0.5],0.16156749815767307
sMAPE[0.5],0.13609108445478324
MSIS,6.525448315457299
RMSE[mean],1.70726712775978
NRMSE[mean],0.18282798204489784
ND[0.5],0.13045484467379126
mean_weighted_sum_quantile_loss,0.12330189635416883
