metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Finland_Traffic_15T_BM_030_long_backward.csv
clean_data,data\datasets\ori\Finland_Traffic_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],27028.748888888887
MSE[0.5],27028.748888888887
MAE[0.5],134.17700520833333
MASE[0.5],3.243289575873738
MAPE[0.5],3.550242831214395
sMAPE[0.5],1.0373438160906079
MSIS,19.312452377640444
RMSE[mean],164.4042240603595
NRMSE[mean],1.0601798476555369
ND[0.5],0.8652560951744194
mean_weighted_sum_quantile_loss,0.654541144475393
