metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_010\Supply_Chain_Customer_D_BM_010_long_backward.csv
clean_data,data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],1303566612.6361597
MSE[0.5],1303566612.6361597
MAE[0.5],23190.473634078415
MASE[0.5],0.7641306168557126
MAPE[0.5],0.3705025816649747
sMAPE[0.5],0.3822088790622653
MSIS,4.351131212043182
RMSE[mean],36104.93889533896
NRMSE[mean],0.5695060519422646
ND[0.5],0.36579801783628496
mean_weighted_sum_quantile_loss,0.28511997666993677
