metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\electricity_BM_030_medium_backward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],128950.01237610921
MSE[0.5],128950.01237610921
MAE[0.5],265.0453705596924
MASE[0.5],0.9119712601467965
MAPE[0.5],0.08117903544802015
sMAPE[0.5],0.08058580815785964
MSIS,6.357196777376645
RMSE[mean],359.0961046518177
NRMSE[mean],0.1114184246740193
ND[0.5],0.08223686437238309
mean_weighted_sum_quantile_loss,0.06469154450707991
