metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_backward.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.03737805299084596
MSE[0.5],0.03737805299084596
MAE[0.5],0.16923907039141414
MASE[0.5],60.24892373824045
MAPE[0.5],0.24948197798295454
sMAPE[0.5],0.24666669884771852
MSIS,254.3709188077302
RMSE[mean],0.19333404508995813
NRMSE[mean],0.2795500590607915
ND[0.5],0.24471009284112175
mean_weighted_sum_quantile_loss,0.18010579514556688
