metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_010\Coastal_T_S_20T_BM_010_long_forward.csv
clean_data,data\datasets\ori\Coastal_T_S_20T.csv
freq,20T
term,long
prediction_length,720
windows,7
MSE[mean],3.3773224361359127
MSE[0.5],3.3773224361359127
MAE[0.5],1.5991987924727182
MASE[0.5],17.22280072333886
MAPE[0.5],0.0878617422921317
sMAPE[0.5],0.08310254898171597
MSIS,86.52644570108022
RMSE[mean],1.8377492854401856
NRMSE[mean],0.10124294171624387
ND[0.5],0.08810102195208971
mean_weighted_sum_quantile_loss,0.07035327132983087
