metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_010\current_velocity_5T_BM_010_long_forward.csv
clean_data,data\datasets\ori\current_velocity_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],0.4470452880859375
MSE[0.5],0.4470452880859375
MAE[0.5],0.526915757921007
MASE[0.5],3.9088237705097417
MAPE[0.5],0.005158162646823459
sMAPE[0.5],0.005166168458833068
MSIS,25.511107086225802
RMSE[mean],0.6686144539911902
NRMSE[mean],0.006547589141837351
ND[0.5],0.00515996606808629
mean_weighted_sum_quantile_loss,0.0039928417269368775
