metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_010\electricity_BM_010_long_forward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],401786.31111111114
MSE[0.5],401786.31111111114
MAE[0.5],483.3611111111111
MASE[0.5],1.6553616202275434
MAPE[0.5],0.14354627762778666
sMAPE[0.5],0.14592436618903612
MSIS,14.818602006023834
RMSE[mean],633.8661618284345
NRMSE[mean],0.19119004423689348
ND[0.5],0.14579391956994942
mean_weighted_sum_quantile_loss,0.124368963120662
