metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\weather_BM_020_medium_forward.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,medium
prediction_length,480
windows,20
MSE[mean],255.12106006396962
MSE[0.5],255.12106006396962
MAE[0.5],11.81438691775004
MASE[0.5],0.37988351399940984
MAPE[0.5],0.026493020588528475
sMAPE[0.5],0.026668728421007284
MSIS,2.5170617203954078
RMSE[mean],15.972509510529948
NRMSE[mean],0.036463764441284505
ND[0.5],0.026971154489094273
mean_weighted_sum_quantile_loss,0.02088457923224459
