metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\weather_BM_030_long_forward.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],253.34240134800598
MSE[0.5],253.34240134800598
MAE[0.5],11.26987467235989
MASE[0.5],0.3499443550687515
MAPE[0.5],0.025474797062733368
sMAPE[0.5],0.025663048428113438
MSIS,2.3305070150564915
RMSE[mean],15.916733375539279
NRMSE[mean],0.036691150907536385
ND[0.5],0.025979242257588478
mean_weighted_sum_quantile_loss,0.02008601575667703
