metric,value
model,visiontspp
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\traffic_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.0005073439633404767
MSE[0.5],0.0005073439633404767
MAE[0.5],0.019099721555356625
MASE[0.5],4.2317977270432605
MAPE[0.5],1.269163783869847
sMAPE[0.5],0.6802231667702275
MSIS,28.333704737608613
RMSE[mean],0.022524297177503157
NRMSE[mean],0.6726057250855246
ND[0.5],0.5703433036970934
mean_weighted_sum_quantile_loss,0.4334434534278935
