metric,value
model,visiontspp
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\Finland_Traffic_15T_BM_020_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Finland_Traffic_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],21095.297777777778
MSE[0.5],21095.297777777778
MAE[0.5],118.50660590277778
MASE[0.5],2.8624339100166356
MAPE[0.5],3.004776295678755
sMAPE[0.5],0.9232321274924458
MSIS,18.012273267535175
RMSE[mean],145.24220384508692
NRMSE[mean],0.9366113214287322
ND[0.5],0.7642036943409357
mean_weighted_sum_quantile_loss,0.5776444636054962
