metric,value
model,visiontspp
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\ETTh1_BM_030_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],62.29374421296296
MSE[0.5],62.29374421296296
MAE[0.5],6.74679615162037
MASE[0.5],2.8400033731961414
MAPE[0.5],1.0749017048773364
sMAPE[0.5],0.9043386128852012
MSIS,15.598662104535903
RMSE[mean],7.892638609043427
NRMSE[mean],0.7174954259263597
ND[0.5],0.6133304232248229
mean_weighted_sum_quantile_loss,0.4495112676600523
