metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\Australia_Solar_H_BM_020_long_linear.csv
clean_data,data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],362496805655.8933
MSE[0.5],362496805655.8933
MAE[0.5],462838.7555555556
MASE[0.5],3.77062614944782
MAPE[0.5],2440.5536889674822
sMAPE[0.5],1.4479182667513026
MSIS,26.436698789637372
RMSE[mean],602077.0761753791
NRMSE[mean],1.2671329818078927
ND[0.5],0.9740916497749703
mean_weighted_sum_quantile_loss,0.7716113495962394
