metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_5T_BM_030_long_linear.csv
clean_data,data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],3577.86
MSE[0.5],3577.86
MAE[0.5],55.16741753472222
MASE[0.5],1.8055095024713088
MAPE[0.5],2.7323887803819447
sMAPE[0.5],1.8636327813293325
MSIS,5.300084303127984
RMSE[mean],59.81521545560126
NRMSE[mean],2.200204023222129
ND[0.5],2.029242444186574
mean_weighted_sum_quantile_loss,1.4194835328393718
