metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Supply_Chain_Customer_D_BM_030_long_linear.csv
clean_data,data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],1399669446.2302272
MSE[0.5],1399669446.2302272
MAE[0.5],23575.766798140914
MASE[0.5],0.7683170091029727
MAPE[0.5],0.3942173382471999
sMAPE[0.5],0.38167426121921566
MSIS,4.927756166804571
RMSE[mean],37412.1563964205
NRMSE[mean],0.590125620922255
ND[0.5],0.37187549076434206
mean_weighted_sum_quantile_loss,0.29287527297128524
