metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\current_velocity_20T_BM_020_long_linear.csv
clean_data,data\datasets\ori\current_velocity_20T.csv
freq,20T
term,long
prediction_length,720
windows,14
MSE[mean],187.5690228174603
MSE[0.5],187.5690228174603
MAE[0.5],10.58717292906746
MASE[0.5],1.591059948280042
MAPE[0.5],0.05546901642330109
sMAPE[0.5],0.056025940107846874
MSIS,13.197567740693954
RMSE[mean],13.695584062662691
NRMSE[mean],0.07139435861439028
ND[0.5],0.05519037504001506
mean_weighted_sum_quantile_loss,0.044951463266245745
