metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\traffic_BM_020_short_linear.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],0.0007565487035093219
MSE[0.5],0.0007565487035093219
MAE[0.5],0.018739852687334253
MASE[0.5],3.904784051762103
MAPE[0.5],1.2089891893640456
sMAPE[0.5],0.5242176565905118
MSIS,22.291905639470976
RMSE[mean],0.027505430436721434
NRMSE[mean],0.725505656721654
ND[0.5],0.4942976319556218
mean_weighted_sum_quantile_loss,0.37346202112963783
