metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\Australia_Solar_H_BM_020_long_mean.csv
clean_data,data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],356040485546.6667
MSE[0.5],356040485546.6667
MAE[0.5],456751.21777777775
MASE[0.5],3.721479221699676
MAPE[0.5],2264.9749484232243
sMAPE[0.5],1.41384933200476
MSIS,25.2677007668141
RMSE[mean],596691.2816077227
NRMSE[mean],1.2557980245408413
ND[0.5],0.9612798019211636
mean_weighted_sum_quantile_loss,0.7534354552332
