metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_020\Coastal_T_S_5T_BM_020_long_mean.csv
clean_data,data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],2269.6880555555554
MSE[0.5],2269.6880555555554
MAE[0.5],35.82908203125
MASE[0.5],1.1765644981883128
MAPE[0.5],1.505615505642361
sMAPE[0.5],1.4027287086167235
MSIS,7.101124885195948
RMSE[mean],47.64124322008773
NRMSE[mean],1.7524045379715392
ND[0.5],1.3179136751923204
mean_weighted_sum_quantile_loss,1.0246198742270478
