metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\ETTh1_BM_030_long_mean.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],106.42171296296296
MSE[0.5],106.42171296296296
MAE[0.5],7.886239149305555
MASE[0.5],3.41030232479392
MAPE[0.5],1.3530670451226636
sMAPE[0.5],0.9230798362745477
MSIS,17.223064025423692
RMSE[mean],10.316090003628457
NRMSE[mean],0.9378039154823459
ND[0.5],0.7169136707849217
mean_weighted_sum_quantile_loss,0.5392986637365109
