metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\EWELD_Load_15T_BM_030_long_mean.csv
clean_data,data\datasets\ori\EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],39468.822222222225
MSE[0.5],39468.822222222225
MAE[0.5],159.12447916666667
MASE[0.5],4.515928978417953
MAPE[0.5],11.014325327932099
sMAPE[0.5],1.0998039876827377
MSIS,24.35228024340612
RMSE[mean],198.66761744738932
NRMSE[mean],1.2167677738600078
ND[0.5],0.9745802600845682
mean_weighted_sum_quantile_loss,0.7360305102995777
