metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Supply_Chain_Customer_D_BM_030_long_mean.csv
clean_data,data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],1554315078.9214814
MSE[0.5],1554315078.9214814
MAE[0.5],31329.253333333334
MASE[0.5],1.0369832259833143
MAPE[0.5],0.8052537782361892
sMAPE[0.5],0.8241252570787253
MSIS,7.017930113055221
RMSE[mean],39424.802839348245
NRMSE[mean],0.6218723670666003
ND[0.5],0.49417614105058283
mean_weighted_sum_quantile_loss,0.3706410907345447
