metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\Water_Quality_Darwin_15T_BM_030_long_mean.csv
clean_data,data\datasets\ori\Water_Quality_Darwin_15T.csv
freq,15T
term,long
prediction_length,720
windows,16
MSE[mean],135.20334201388889
MSE[0.5],135.20334201388889
MAE[0.5],10.317744954427083
MASE[0.5],8.779945417248733
MAPE[0.5],0.061680401696099174
sMAPE[0.5],0.06409974293783108
MSIS,35.29582026526682
RMSE[mean],11.62769719307692
NRMSE[mean],0.06968271814229082
ND[0.5],0.0618324077059262
mean_weighted_sum_quantile_loss,0.0443180011817071
