metric,value
model,visiontspp
eval_data,data\datasets\Imputed\BM\BM_030\traffic_BM_030_medium_mean.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],0.00024845878705122406
MSE[0.5],0.00024845878705122406
MAE[0.5],0.010626780814407084
MASE[0.5],2.306838196466857
MAPE[0.5],0.6174704914479973
sMAPE[0.5],0.3645736684814388
MSIS,38.5545697717502
RMSE[mean],0.015762575520872978
NRMSE[mean],0.463519405347522
ND[0.5],0.3124945613951055
mean_weighted_sum_quantile_loss,0.27659945772436123
