metric,value
model,visiontspp
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\electricity_BM_020_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],370388.26666666666
MSE[0.5],370388.26666666666
MAE[0.5],469.9638194444444
MASE[0.5],1.6101507999422005
MAPE[0.5],0.1393336098644003
sMAPE[0.5],0.14090787579313246
MSIS,14.204837025314069
RMSE[mean],608.5953225803388
NRMSE[mean],0.18356772084324532
ND[0.5],0.14175295802214263
mean_weighted_sum_quantile_loss,0.11910254808863874
