metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\context_L0512\BM\BM_030\exchange_rate_BM_length50_030_long_mean.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,720
windows,7
MSE[mean],0.007844161987304688
MSE[0.5],0.007844161987304688
MAE[0.5],0.06797045753115699
MASE[0.5],25.902222414056453
MAPE[0.5],0.11002374073815724
sMAPE[0.5],0.10509870654771648
MSIS,254.72234893638696
RMSE[mean],0.0885672737940188
NRMSE[mean],0.1288591728768013
ND[0.5],0.0988922494994323
mean_weighted_sum_quantile_loss,0.07875604690817467
