metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\context_L0512\BM\BM_030\ETTh1_BM_length50_030_long_saits.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],16.784442997685186
MSE[0.5],16.784442997685186
MAE[0.5],3.2737109375
MASE[0.5],1.3744280397977784
MAPE[0.5],0.5788227402161215
sMAPE[0.5],0.4327008221837203
MSIS,12.467202732839995
RMSE[mean],4.096882106881425
NRMSE[mean],0.37243491281596025
ND[0.5],0.29760296141901066
mean_weighted_sum_quantile_loss,0.24461371376941166
