metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\context_L0512\BM\BM_030\weather_BM_length50_030_long_linear.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],370.7504177517361
MSE[0.5],370.7504177517361
MAE[0.5],14.057405734592013
MASE[0.5],0.4353759815881303
MAPE[0.5],0.03203093714184231
sMAPE[0.5],0.03213602022136015
MSIS,3.6163141522125444
RMSE[mean],19.254880361916978
NRMSE[mean],0.04438622576610938
ND[0.5],0.03240504084644866
mean_weighted_sum_quantile_loss,0.02725625690052768
