metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\context_L2048\BM\BM_030\exchange_rate_BM_length50_030_long_mean.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,720
windows,7
MSE[mean],0.010415037851484996
MSE[0.5],0.010679745295691111
MAE[0.5],0.0885391114250062
MASE[0.5],33.45438474616564
MAPE[0.5],0.13618724762447296
sMAPE[0.5],0.13609638142267463
MSIS,403.8065844418179
RMSE[mean],0.10205409277184818
NRMSE[mean],0.14848154877000178
ND[0.5],0.12881819860468297
mean_weighted_sum_quantile_loss,0.10564765625147593
