metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\context_L2048\BM\BM_030\weather_BM_length50_030_long_saits.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],306.0386892361111
MSE[0.5],318.8965885416667
MAE[0.5],12.737583550347223
MASE[0.5],0.39606525143334026
MAPE[0.5],0.02880444632636176
sMAPE[0.5],0.028958863670447043
MSIS,4.7904121355157825
RMSE[mean],17.493961507792086
NRMSE[mean],0.04032696700438916
ND[0.5],0.029362595277330792
mean_weighted_sum_quantile_loss,0.024596866502658573
