metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\context_L2048\BM\BM_030\traffic_BM_length50_030_long_mean.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.0005411167939503987
MSE[0.5],0.0005411167939503987
MAE[0.5],0.019515530621563946
MASE[0.5],4.322148008818867
MAPE[0.5],1.4046706736336267
sMAPE[0.5],0.6879410820806859
MSIS,25.16783821630333
RMSE[mean],0.02326191724579895
NRMSE[mean],0.694632049679095
ND[0.5],0.5827599201299846
mean_weighted_sum_quantile_loss,0.43224072447481304
