metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\horizon_H096\BM\BM_030\electricity_BM_length50_030_long_linear.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,96
windows,20
MSE[mean],36424.604166666664
MSE[0.5],36424.604166666664
MAE[0.5],132.1010945638021
MASE[0.5],0.4570728792010152
MAPE[0.5],0.04177329937616984
sMAPE[0.5],0.04137343690629845
MSIS,4.259097510953197
RMSE[mean],190.85230982795744
NRMSE[mean],0.061060903506483376
ND[0.5],0.0422641580577798
mean_weighted_sum_quantile_loss,0.0348797226911027
