metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\horizon_H096\BM\BM_030\weather_BM_length50_030_long_linear.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,96
windows,20
MSE[mean],44.29585571289063
MSE[0.5],44.29585571289063
MAE[0.5],4.677307383219401
MASE[0.5],0.15833411560589716
MAPE[0.5],0.010844442869226138
sMAPE[0.5],0.01082245761438544
MSIS,1.1258157221048382
RMSE[mean],6.6555131817832525
NRMSE[mean],0.01546942333621121
ND[0.5],0.010871475423210056
mean_weighted_sum_quantile_loss,0.008628931761392622
