metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\horizon_H192\BM\BM_030\weather_BM_length50_030_long_saits.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,192
windows,20
MSE[mean],129.39442494710286
MSE[0.5],129.39442494710286
MAE[0.5],8.523632431030274
MASE[0.5],0.2843424327787126
MAPE[0.5],0.01923279327650865
sMAPE[0.5],0.01920315789921878
MSIS,2.7629327427773918
RMSE[mean],11.375167029415563
NRMSE[mean],0.025879588225807947
ND[0.5],0.019392075468674615
mean_weighted_sum_quantile_loss,0.015621164468828441
