metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\horizon_H720\BM\BM_030\traffic_BM_length50_030_long_mean.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],9.51733633323952e-05
MSE[0.5],9.897708892822265e-05
MAE[0.5],0.00760475582546658
MASE[0.5],1.6789855509223752
MAPE[0.5],0.4831112132352941
sMAPE[0.5],0.31357192502936837
MSIS,18.632941361696666
RMSE[mean],0.009755683642492472
NRMSE[mean],0.29131779865776997
ND[0.5],0.22708820904720986
mean_weighted_sum_quantile_loss,0.1869779923926852
