metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\horizon_H720\BM\BM_030\exchange_rate_BM_length50_030_long_linear.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,720
windows,7
MSE[mean],0.007080394502670046
MSE[0.5],0.007080394502670046
MAE[0.5],0.06600984845842633
MASE[0.5],25.476627466707633
MAPE[0.5],0.10226188538566468
sMAPE[0.5],0.10220604609159947
MSIS,167.1906036285684
RMSE[mean],0.08414508008594469
NRMSE[mean],0.12242519112357828
ND[0.5],0.09603970077997645
mean_weighted_sum_quantile_loss,0.07285847420333472
