metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\horizon_H720\BM\BM_030\traffic_BM_length50_030_long_mean.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],8.800439260624074e-05
MSE[0.5],8.800439260624074e-05
MAE[0.5],0.00698100831773546
MASE[0.5],1.546681922214409
MAPE[0.5],0.49472592924965264
sMAPE[0.5],0.2958624359353184
MSIS,11.0271942884387
RMSE[mean],0.009381065643424565
NRMSE[mean],0.2801312027383723
ND[0.5],0.2084622718469671
mean_weighted_sum_quantile_loss,0.16259022206930623
