metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\exchange_rate_BM_length100_030_long_gp_rbf.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.007039710921470565
MSE[0.5],0.007039710921470565
MAE[0.5],0.06544284396701389
MASE[0.5],22.908991945434266
MAPE[0.5],0.09592373318142361
sMAPE[0.5],0.09642417512345586
MSIS,174.12312451253788
RMSE[mean],0.08390298517615785
NRMSE[mean],0.12131895575069572
ND[0.5],0.09462663902559149
mean_weighted_sum_quantile_loss,0.07543912928960736
