metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\exchange_rate_BM_length10_030_long_linear.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.009637871173897175
MSE[0.5],0.009917534722222222
MAE[0.5],0.07726817737926137
MASE[0.5],27.744320537824702
MAPE[0.5],0.11030224116161616
sMAPE[0.5],0.11805503877924717
MSIS,288.3448864849534
RMSE[mean],0.09817266001233325
NRMSE[mean],0.14195209587547303
ND[0.5],0.11172540014792336
mean_weighted_sum_quantile_loss,0.09381648005739256
