metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\weather_BM_length50_030_long_linear.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],298.70817708333334
MSE[0.5],296.8876584201389
MAE[0.5],12.525503336588542
MASE[0.5],0.39014865724212644
MAPE[0.5],0.02853776878780789
sMAPE[0.5],0.02843925947202601
MSIS,4.7138349461407465
RMSE[mean],17.283176128343232
NRMSE[mean],0.039841065909988364
ND[0.5],0.02887370933924749
mean_weighted_sum_quantile_loss,0.024245005958434346
