metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\traffic_BM_length200_030_long_gp_rbf.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.00010006712542639838
MSE[0.5],0.00010006712542639838
MAE[0.5],0.006366467652497468
MASE[0.5],1.4127952333223528
MAPE[0.5],0.34872490519337657
sMAPE[0.5],0.26043874666134303
MSIS,23.460418338361265
RMSE[mean],0.010003355708281016
NRMSE[mean],0.29871361873953994
ND[0.5],0.19011126331251305
mean_weighted_sum_quantile_loss,0.16558903431295505
