metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\traffic_BM_length100_030_long_mean.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.0004984620323887578
MSE[0.5],0.0004984620323887578
MAE[0.5],0.013645311991373699
MASE[0.5],3.03833617001915
MAPE[0.5],0.9211895517311255
sMAPE[0.5],0.4230424978262766
MSIS,41.17415529278241
RMSE[mean],0.02232626328763409
NRMSE[mean],0.6666921675153498
ND[0.5],0.4074673182319241
mean_weighted_sum_quantile_loss,0.3552240880869333
