metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\traffic_BM_length10_030_long_saits.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],2.5048918194240995e-05
MSE[0.5],2.5048918194240995e-05
MAE[0.5],0.0030933719211154514
MASE[0.5],0.6856723618706597
MAPE[0.5],0.13648247977217462
sMAPE[0.5],0.12072381672914821
MSIS,8.675917736960802
RMSE[mean],0.005004889428772727
NRMSE[mean],0.14945271129590543
ND[0.5],0.09237223463909648
mean_weighted_sum_quantile_loss,0.07787073212235929
