metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\exchange_rate_BM_length25_030_long_gp_rbf.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.006507845791903409
MSE[0.5],0.006507845791903409
MAE[0.5],0.060599050810842804
MASE[0.5],21.37932232501135
MAPE[0.5],0.0871786221590909
sMAPE[0.5],0.08789003941680307
MSIS,134.28072791788261
RMSE[mean],0.08067122034470167
NRMSE[mean],0.11664600718085746
ND[0.5],0.08762278896775076
mean_weighted_sum_quantile_loss,0.06874726796195933
