metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\exchange_rate_BM_length200_030_long_linear.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.006862527866556187
MSE[0.5],0.006862527866556187
MAE[0.5],0.06405454693418561
MASE[0.5],22.65925474413875
MAPE[0.5],0.09329740273832071
sMAPE[0.5],0.0943383845807933
MSIS,137.27854508611293
RMSE[mean],0.08284037582336398
NRMSE[mean],0.11978248292101971
ND[0.5],0.09261924029072052
mean_weighted_sum_quantile_loss,0.07119263950804518
