metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\weather_BM_length100_030_long_linear.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],500.67590277777776
MSE[0.5],500.67590277777776
MAE[0.5],17.23142632378472
MASE[0.5],0.5398451972200532
MAPE[0.5],0.0389621459113227
sMAPE[0.5],0.03967095931209158
MSIS,3.7781175957676885
RMSE[mean],22.375788316342685
NRMSE[mean],0.05158052261224126
ND[0.5],0.03972177259497878
mean_weighted_sum_quantile_loss,0.03186396186145588
