metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\ETTh1_BM_length10_030_long_mean.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],30.440601851851852
MSE[0.5],30.440601851851852
MAE[0.5],4.519436487268519
MASE[0.5],1.9073628532618598
MAPE[0.5],0.7981102146612149
sMAPE[0.5],0.645801790022198
MSIS,16.09110648974824
RMSE[mean],5.517300232165352
NRMSE[mean],0.5015607423739451
ND[0.5],0.41084802789074654
mean_weighted_sum_quantile_loss,0.3205687361245589
