metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\length\BM\BM_030\traffic_BM_length100_030_long_saits.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.0005198157275164569
MSE[0.5],0.0005198157275164569
MAE[0.5],0.019336440474898728
MASE[0.5],4.285643817445668
MAPE[0.5],1.226344842809171
sMAPE[0.5],0.6905174287093434
MSIS,27.009169710930568
RMSE[mean],0.02279946770248062
NRMSE[mean],0.6808226860417798
ND[0.5],0.5774120481407202
mean_weighted_sum_quantile_loss,0.4320875770255191
