metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\position\BM\BM_030\ETTh1_BM_position_middle_length50_030_long_linear.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],13.117401620370371
MSE[0.5],13.117401620370371
MAE[0.5],2.9112541594328705
MASE[0.5],1.2183660611465637
MAPE[0.5],0.4568650062061916
sMAPE[0.5],0.3557584956604596
MSIS,9.441861164845282
RMSE[mean],3.621795358709596
NRMSE[mean],0.329246242256416
ND[0.5],0.26465313396065065
mean_weighted_sum_quantile_loss,0.20770078803115619
