metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\position\BM\BM_030\traffic_BM_position_back_length50_030_long_saits.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],4.6335304224932636e-05
MSE[0.5],4.745964098859716e-05
MAE[0.5],0.004493812984890408
MASE[0.5],0.9898762303489873
MAPE[0.5],0.1870299473135711
sMAPE[0.5],0.16622691132989012
MSIS,15.719146563808943
RMSE[mean],0.006807004056479813
NRMSE[mean],0.20326627121762367
ND[0.5],0.13419128318551216
mean_weighted_sum_quantile_loss,0.11494081157665301
