metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\position\BM\BM_030\ETTh1_BM_position_front_length50_030_long_saits.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],12.748324652777777
MSE[0.5],12.748324652777777
MAE[0.5],2.7499180772569445
MASE[0.5],1.1457975509957672
MAPE[0.5],0.3920692172897196
sMAPE[0.5],0.35548053479522385
MSIS,22.57370396320614
RMSE[mean],3.570479611029557
NRMSE[mean],0.3245812859519132
ND[0.5],0.24998656847702772
mean_weighted_sum_quantile_loss,0.2235570854305311
